Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Waterfall parkrun,South Africa,2018-05-05,2025-05-03,7
Altona Beach parkrun,Australia,2015-05-09,2025-05-10,10
Athlone RSC parkrun,Ireland,2024-05-11,2025-05-10,1
Bedfont Lakes parkrun,United Kingdom,2009-05-09,2025-05-10,16
Brabrand parkrun,Denmark,2010-05-08,2025-05-10,15
Bungendore Common parkrun,Australia,2024-05-11,2025-05-10,1
Canton Lower Rouge Trail parkrun,United States,2023-05-13,2025-05-10,2
Century City parkrun,South Africa,2016-05-14,2025-05-10,9
Curl Curl parkrun,Australia,2013-05-11,2025-05-10,12
Dartford Heath parkrun,United Kingdom,2018-05-12,2025-05-10,7
Dixon Field parkrun,Australia,2023-05-13,2025-05-10,2
Eastleigh parkrun,United Kingdom,2010-05-08,2025-05-10,15
Ekebergsletta parkrun,Norway,2022-05-14,2025-05-10,3
Erddig parkrun,United Kingdom,2016-05-14,2025-05-10,9
Gisborne parkrun,New Zealand,2018-05-12,2025-05-10,7
Gongendo 2gou kouen parkrun,Japan,2023-05-13,2025-05-10,2
Hampstead Heath parkrun,United Kingdom,2011-05-14,2025-05-10,14
Hampton Oval parkrun,Australia,2021-05-08,2025-05-10,4
Harrow parkrun,United Kingdom,2015-05-09,2025-05-10,10
Knocknacarra parkrun,Ireland,2014-05-10,2025-05-10,11
Lancefield parkrun,Australia,2018-05-12,2025-05-10,7
Lough Key parkrun,Ireland,2016-05-14,2025-05-10,9
Luitpold parkrun,Germany,2019-05-11,2025-05-10,6
Nagambie Lake parkrun,Australia,2024-05-11,2025-05-10,1
Narooma Wetlands parkrun,Australia,2023-05-13,2025-05-10,2
Ocean View parkrun,Australia,2018-05-12,2025-05-10,7
Ōrākei Bay parkrun,New Zealand,2024-05-11,2025-05-10,1
"Otago Central Rail Trail parkrun, Alexandra",New Zealand,2024-05-11,2025-05-10,1
"parkrun Park na Wyspie, Piła",Poland,2019-05-11,2025-05-10,6
parkrun Warszawa-Praga,Poland,2013-05-11,2025-05-10,12
Pegwell Bay parkrun,United Kingdom,2013-05-11,2025-05-10,12
Pendle parkrun,United Kingdom,2014-05-10,2025-05-10,11
Preston parkrun,United Kingdom,2012-05-12,2025-05-10,13
Prinzenpark parkrun,Germany,2022-05-14,2025-05-10,3
Robertson parkrun,South Africa,2018-05-12,2025-05-10,7
Rother Valley parkrun,United Kingdom,2013-05-11,2025-05-10,12
Sloughbottom parkrun,United Kingdom,2019-05-11,2025-05-10,6
Southern Highlands Botanic Gardens parkrun,Australia,2022-05-14,2025-05-10,3
"Springburn parkrun, Glasgow",United Kingdom,2014-05-10,2025-05-10,11
Swaleside parkrun,United Kingdom,2022-05-14,2025-05-10,3
The Entrance parkrun,Australia,2016-05-14,2025-05-10,9
The Fisherman‘s Walk parkrun,United Kingdom,2024-05-11,2025-05-10,1
The Grange parkrun,United Kingdom,2019-05-11,2025-05-10,6
Timboon parkrun,Australia,2017-05-13,2025-05-10,8
Tynehead Regional parkrun,Canada,2024-05-11,2025-05-10,1
Uvongo parkrun,South Africa,2013-05-11,2025-05-10,12
Welkom parkrun,South Africa,2017-05-13,2025-05-10,8
Wepre parkrun,United Kingdom,2016-05-14,2025-05-10,9
Wildflower parkrun,Australia,2018-05-12,2025-05-10,7
Yarrabilba parkrun,Australia,2014-05-10,2025-05-10,11
Amager Fælled parkrun,Denmark,2009-05-16,2025-05-17,16
Arrow Rest parkrun,South Africa,2022-05-21,2025-05-17,3
Boksburg parkrun,South Africa,2015-05-16,2025-05-17,10
Buckingham parkrun,United Kingdom,2014-05-17,2025-05-17,11
"Camperdown parkrun, Dundee",United Kingdom,2012-05-19,2025-05-17,13
Chichibu Muse Park parkrun,Japan,2023-05-20,2025-05-17,2
Clitheroe Castle parkrun,United Kingdom,2018-05-19,2025-05-17,7
Clonbur Woods parkrun,Ireland,2019-05-18,2025-05-17,6
Clonmel parkrun,Ireland,2017-05-20,2025-05-17,8
Cobar parkrun,Australia,2018-05-19,2025-05-17,7
Coburg parkrun,Australia,2015-05-16,2025-05-17,10
Conyngham Hall parkrun,United Kingdom,2019-05-18,2025-05-17,6
Euroa parkrun,Australia,2018-05-19,2025-05-17,7
Fulwell Quarry parkrun,United Kingdom,2024-05-18,2025-05-17,1
Greenock parkrun,United Kingdom,2014-05-17,2025-05-17,11
Heidedal parkrun,South Africa,2017-05-20,2025-05-17,8
Hobsonville Point parkrun,New Zealand,2019-05-18,2025-05-17,6
Inch Beach parkrun,Ireland,2018-05-19,2025-05-17,7
Jubilee Way parkrun,Australia,2018-05-19,2025-05-17,7
Kiessee parkrun,Germany,2019-05-18,2025-05-17,6
Lochore Meadows parkrun,United Kingdom,2018-05-19,2025-05-17,7
Longford parkrun,Ireland,2016-05-21,2025-05-17,9
Macroom Castle Demesne parkrun,Ireland,2013-05-18,2025-05-17,12
MUSA Cookstown parkrun,United Kingdom,2013-05-18,2025-05-17,12
Ome kyuryo parkrun,Japan,2022-05-21,2025-05-17,3
"parkrun Jezioro Zatorze, Konin",Poland,2019-05-18,2025-05-17,6
parkrun Kraków,Poland,2013-05-18,2025-05-17,12
parkrun Las Miejski,Poland,2024-05-18,2025-05-17,1
Peacehaven parkrun,United Kingdom,2017-05-20,2025-05-17,8
Portland parkrun,Australia,2016-05-21,2025-05-17,9
Queen Elizabeth parkrun,United Kingdom,2013-05-18,2025-05-17,12
Roma parkrun,Australia,2014-05-17,2025-05-17,11
Taree parkrun,Australia,2015-05-16,2025-05-17,10
Tetbury Goods Shed parkrun,United Kingdom,2019-05-18,2025-05-17,6
Varsity Lakes parkrun,Australia,2013-05-18,2025-05-17,12
Veterans Park parkrun,United States,2024-05-18,2025-05-17,1
Wanstead Flats parkrun,United Kingdom,2011-05-21,2025-05-17,14
Weedon Island Preserve parkrun,United States,2019-05-18,2025-05-17,6
Whitemark Wharf parkrun,Australia,2019-05-18,2025-05-17,6
Alvaston parkrun,United Kingdom,2019-05-25,2025-05-24,6
Anderson parkrun,New Zealand,2016-05-28,2025-05-24,9
Ballina Coast parkrun,Australia,2017-05-27,2025-05-24,8
Barry Curtis parkrun,New Zealand,2013-05-25,2025-05-24,12
Bethlem Royal Hospital parkrun,United Kingdom,2019-05-25,2025-05-24,6
Bognor Regis parkrun,United Kingdom,2014-05-24,2025-05-24,11
Bramshall Road parkrun,United Kingdom,2022-05-28,2025-05-24,3
Brockenhurst parkrun,United Kingdom,2013-05-25,2025-05-24,12
Castlemaine parkrun,Australia,2015-05-23,2025-05-24,10
Cleethorpes parkrun,United Kingdom,2014-05-24,2025-05-24,11
ESBA parkrun,United Kingdom,2023-05-27,2025-05-24,2
"Falls parkrun, Belfast",United Kingdom,2012-05-26,2025-05-24,13
Graham Andrews parkrun,Australia,2019-05-25,2025-05-24,6
Halsema Trailhead parkrun,United States,2024-05-25,2025-05-24,1
Harrismith parkrun,South Africa,2015-05-23,2025-05-24,10
Hazeldean Farm parkrun,South Africa,2019-05-25,2025-05-24,6
Highlands parkrun,Australia,2013-05-25,2025-05-24,12
